""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2018"
"Amounts in $ billion"
"Welfare"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","1.1","a","0.6","a","1.6","a","224.0","a","1.6","a","4.9","e"
"Alaska","0.8","a","0.2","a","1.0","a","54.7","a","-1.6","a","0.7","e"
"Arizona","3.6","a","0.5","a","4.1","a","349.9","a","3.7","a","7.2","e"
"Arkansas","0.8","a","0.2","a","1.0","a","127.3","a","1.8","a","3.0","e"
"California","16.9","a","27.9","a","44.8","a","2,895.1","a","4.0","a","39.4","e"
"Colorado","1.4","a","1.7","a","3.1","a","371.4","a","3.8","a","5.7","e"
"Connecticut","2.0","a","0.6","a","2.7","a","280.7","a","1.1","a","3.6","e"
"Delaware","0.5","a","0.1","a","0.6","a","72.5","a","1.5","a","1.0","e"
"District of Columbia","0.0","a","2.9","a","2.9","a","139.8","a","2.4","a","0.7","e"
"Florida","3.1","a","3.3","a","6.3","a","1,057.9","a","3.3","a","21.3","e"
"Georgia","1.9","a","1.0","a","2.9","a","602.3","a","2.7","a","10.5","e"
"Hawaii","0.8","a","0.2","a","1.0","a","90.3","a","1.2","a","1.4","e"
"Idaho","0.6","a","0.1","a","0.7","a","77.5","a","6.1","a","1.8","e"
"Illinois","5.0","a","2.4","a","7.5","a","867.5","a","2.4","a","12.7","e"
"Indiana","2.2","a","0.7","a","2.8","a","373.5","a","3.5","a","6.7","e"
"Iowa","1.2","a","0.2","a","1.5","a","190.4","a","1.6","a","3.1","e"
"Kansas","1.0","a","0.2","a","1.2","a","172.3","a","2.3","a","2.9","e"
"Kentucky","1.6","a","0.2","a","1.9","a","208.3","a","1.2","a","4.5","e"
"Louisiana","1.1","a","0.6","a","1.7","a","255.8","a","1.1","a","4.7","e"
"Maine","1.2","a","0.2","a","1.4","a","65.5","a","2.7","a","1.3","e"
"Maryland","3.3","a","1.3","a","4.5","a","411.1","a","0.5","a","6.0","e"
"Massachusetts","5.1","a","1.7","a","6.8","a","564.0","a","3.8","a","6.9","e"
"Michigan","4.6","a","1.2","a","5.8","a","520.8","a","2.2","a","10.0","e"
"Minnesota","2.7","a","2.5","a","5.2","a","373.4","a","3.0","a","5.6","e"
"Mississippi","0.5","a","0.3","a","0.8","a","112.4","a","-0.5","a","3.0","e"
"Missouri","1.0","a","0.7","a","1.7","a","319.4","a","1.4","a","6.1","e"
"Montana","0.3","a","0.1","a","0.4","a","50.9","a","1.5","a","1.1","e"
"Nebraska","0.9","a","0.3","a","1.2","a","126.9","a","2.1","a","1.9","e"
"Nevada","0.8","a","0.6","a","1.4","a","170.4","a","3.4","a","3.0","e"
"New Hampshire","0.5","a","0.3","a","0.9","a","83.8","a","1.9","a","1.4","e"
"New Jersey","5.1","a","1.8","a","6.9","a","613.5","a","2.4","a","8.9","e"
"New Mexico","0.6","a","0.1","a","0.8","a","97.3","a","2.2","a","2.1","e"
"New York","3.8","a","19.0","a","22.7","a","1,695.0","a","2.7","a","19.5","e"
"North Carolina","1.0","a","2.9","a","3.9","a","570.0","a","1.5","a","10.4","e"
"North Dakota","0.4","a","0.1","a","0.5","a","59.1","a","3.3","a","0.8","e"
"Ohio","2.4","a","4.5","a","6.8","a","667.0","a","1.4","a","11.7","e"
"Oklahoma","1.6","a","0.4","a","2.0","a","202.5","a","1.6","a","3.9","e"
"Oregon","5.0","a","0.7","a","5.7","a","237.1","a","4.6","a","4.2","e"
"Pennsylvania","5.2","a","5.3","a","10.5","a","772.6","a","1.4","a","12.8","e"
"Rhode Island","0.8","a","0.2","a","1.0","a","59.1","a","-0.2","a","1.1","e"
"South Carolina","1.4","a","0.3","a","1.7","a","233.7","a","2.6","a","5.1","e"
"South Dakota","0.4","a","0.1","a","0.5","a","52.4","a","1.3","a","0.9","e"
"Tennessee","2.2","a","0.7","a","3.0","a","361.4","a","1.3","a","6.8","e"
"Texas","7.5","a","2.7","a","10.2","a","1,809.7","a","3.9","a","28.6","e"
"All states combined","112.6","a","99.1","a","211.7","a","20,533.1","a","2.9","a","326.8","e"
"Utah","1.1","a","0.5","a","1.6","a","182.6","a","5.8","a","3.2","e"
"Vermont","0.8","a","0.1","a","0.9","a","33.0","a","0.4","a","0.6","e"
"Virginia","1.4","a","2.4","a","3.8","a","531.8","a","2.4","a","8.5","e"
"Washington","2.7","a","1.8","a","4.5","a","564.5","a","6.8","a","7.5","e"
"West Virginia","0.9","a","0.1","a","1.0","a","79.0","a","2.3","a","1.8","e"
"Wisconsin","1.5","a","2.6","a","4.1","a","332.3","a","2.4","a","5.8","e"
"Wyoming","0.3","a","0.0","a","0.3","a","39.0","a","1.5","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
