""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2017"
"Amounts in $ billion"
"Welfare"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","2.3","a","0.6","a","2.8","a","215.1","a","1.7","a","4.9","e"
"Alaska","0.7","a","0.2","a","0.9","a","53.1","a","-0.2","a","0.7","e"
"Arizona","3.6","a","0.5","a","4.1","a","330.4","a","3.8","a","7.0","e"
"Arkansas","0.8","a","0.2","a","1.0","a","122.4","a","1.0","a","3.0","e"
"California","16.5","a","26.5","a","43.1","a","2,731.0","a","4.7","a","39.3","e"
"Colorado","1.4","a","1.7","a","3.1","a","348.9","a","3.5","a","5.6","e"
"Connecticut","2.1","a","0.7","a","2.8","a","271.6","a","1.7","a","3.6","e"
"Delaware","0.6","a","0.1","a","0.6","a","68.8","a","-3.5","a","1.0","e"
"District of Columbia","0.0","a","1.8","a","1.8","a","133.4","a","1.0","a","0.7","e"
"Florida","3.0","a","3.1","a","6.1","a","1,002.6","a","3.6","a","21.0","e"
"Georgia","1.9","a","1.0","a","2.9","a","574.4","a","3.6","a","10.4","e"
"Hawaii","0.8","a","0.2","a","1.0","a","87.2","a","2.1","a","1.4","e"
"Idaho","0.6","a","0.1","a","0.7","a","71.7","a","2.3","a","1.7","e"
"Illinois","5.0","a","2.5","a","7.5","a","827.1","a","0.8","a","12.8","e"
"Indiana","2.3","a","0.4","a","2.7","a","353.2","a","2.0","a","6.7","e"
"Iowa","1.3","a","0.2","a","1.5","a","183.6","a","-0.1","a","3.1","e"
"Kansas","0.9","a","0.2","a","1.2","a","164.9","a","1.1","a","2.9","e"
"Kentucky","1.8","a","0.2","a","2.0","a","201.6","a","1.0","a","4.5","e"
"Louisiana","1.2","a","0.7","a","1.9","a","241.7","a","2.3","a","4.7","e"
"Maine","1.1","a","0.2","a","1.3","a","62.4","a","2.0","a","1.3","e"
"Maryland","3.3","a","1.3","a","4.6","a","400.4","a","1.8","a","6.0","e"
"Massachusetts","4.8","a","1.7","a","6.5","a","532.4","a","1.9","a","6.9","e"
"Michigan","4.2","a","1.3","a","5.5","a","501.8","a","1.2","a","10.0","e"
"Minnesota","2.5","a","2.4","a","4.8","a","354.7","a","1.4","a","5.6","e"
"Mississippi","0.6","a","0.3","a","0.9","a","110.0","a","0.4","a","3.0","e"
"Missouri","1.0","a","0.7","a","1.7","a","308.7","a","1.1","a","6.1","e"
"Montana","0.3","a","0.1","a","0.4","a","48.4","a","3.3","a","1.1","e"
"Nebraska","0.9","a","0.3","a","1.2","a","121.9","a","1.7","a","1.9","e"
"Nevada","0.8","a","0.7","a","1.4","a","160.8","a","4.0","a","3.0","e"
"New Hampshire","0.5","a","0.3","a","0.9","a","80.7","a","0.7","a","1.4","e"
"New Jersey","5.6","a","1.8","a","7.4","a","586.4","a","0.4","a","8.9","e"
"New Mexico","0.6","a","0.1","a","0.8","a","92.3","a","-0.1","a","2.1","e"
"New York","3.7","a","18.1","a","21.8","a","1,603.9","a","1.2","a","19.6","e"
"North Carolina","1.0","a","3.0","a","4.1","a","549.7","a","2.8","a","10.3","e"
"North Dakota","0.4","a","0.1","a","0.6","a","55.2","a","2.1","a","0.8","e"
"Ohio","2.4","a","4.6","a","7.1","a","641.7","a","1.2","a","11.7","e"
"Oklahoma","1.7","a","0.4","a","2.0","a","190.7","a","0.6","a","3.9","e"
"Oregon","4.6","a","0.7","a","5.3","a","222.6","a","3.9","a","4.1","e"
"Pennsylvania","6.8","a","5.3","a","12.1","a","745.0","a","0.9","a","12.8","e"
"Rhode Island","0.8","a","0.2","a","0.9","a","57.9","a","-0.6","a","1.1","e"
"South Carolina","1.4","a","0.4","a","1.7","a","223.0","a","2.3","a","5.0","e"
"South Dakota","0.4","a","0.1","a","0.5","a","50.3","a","-0.4","a","0.9","e"
"Tennessee","2.1","a","0.7","a","2.8","a","349.8","a","2.7","a","6.7","e"
"Texas","7.8","a","2.6","a","10.3","a","1,677.1","a","2.7","a","28.3","e"
"All states combined","115.3","a","95.5","a","210.7","a","19,477.3","a","2.2","a","325.1","e"
"Utah","1.1","a","0.4","a","1.6","a","168.1","a","4.3","a","3.1","e"
"Vermont","0.9","a","0.1","a","0.9","a","32.2","a","0.3","a","0.6","e"
"Virginia","1.5","a","2.4","a","3.9","a","509.9","a","1.5","a","8.5","e"
"Washington","2.7","a","1.6","a","4.3","a","519.9","a","5.4","a","7.4","e"
"West Virginia","1.2","a","0.1","a","1.3","a","74.8","a","2.1","a","1.8","e"
"Wisconsin","1.6","a","2.5","a","4.1","a","318.4","a","0.1","a","5.8","e"
"Wyoming","0.3","a","0.0","a","0.4","a","36.9","a","-2.0","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
