""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2019"
"Amounts in $ billion"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","6.9","a","8.3","a","15.2","a","231.2","a","1.3","a","4.9","e"
"Alaska","1.3","a","1.9","a","3.2","a","54.5","a","0.2","a","0.7","e"
"Arizona","6.2","a","11.0","a","17.2","a","370.0","a","3.3","a","7.3","e"
"Arkansas","3.4","a","5.6","a","9.0","a","130.8","a","0.7","a","3.0","e"
"California","44.6","a","108.9","a","153.5","a","3,052.7","a","3.6","a","39.4","e"
"Colorado","7.1","a","12.1","a","19.2","a","392.2","a","4.2","a","5.8","e"
"Connecticut","3.9","a","10.3","a","14.2","a","288.1","a","0.6","a","3.6","e"
"Delaware","2.1","a","2.3","a","4.4","a","77.0","a","4.1","a","1.0","e"
"District of Columbia","0.0","a","3.2","a","3.2","a","144.4","a","0.9","a","0.7","e"
"Florida","13.5","a","34.4","a","47.9","a","1,116.4","a","3.0","a","21.5","e"
"Georgia","9.1","a","21.8","a","31.0","a","637.8","a","3.5","a","10.6","e"
"Hawaii","3.8","a","0.0","a","3.8","a","91.8","a","-0.9","a","1.4","e"
"Idaho","1.4","a","2.7","a","4.1","a","82.4","a","4.0","a","1.8","e"
"Illinois","7.7","a","32.6","a","40.3","a","890.5","a","0.5","a","12.7","e"
"Indiana","7.8","a","12.0","a","19.8","a","381.0","a","0.4","a","6.7","e"
"Iowa","3.5","a","8.1","a","11.6","a","194.3","a","0.0","a","3.2","e"
"Kansas","2.9","a","7.6","a","10.5","a","176.7","a","0.8","a","2.9","e"
"Kentucky","5.8","a","7.1","a","12.9","a","216.1","a","1.7","a","4.5","e"
"Louisiana","4.7","a","8.2","a","12.9","a","254.6","a","-0.1","a","4.7","e"
"Maine","1.1","a","2.8","a","3.9","a","68.5","a","2.2","a","1.3","e"
"Maryland","6.2","a","16.0","a","22.2","a","421.6","a","0.3","a","6.1","e"
"Massachusetts","6.9","a","17.0","a","23.9","a","593.3","a","2.9","a","6.9","e"
"Michigan","12.7","a","20.8","a","33.5","a","531.4","a","-0.1","a","10.0","e"
"Minnesota","6.1","a","13.9","a","20.1","a","383.0","a","0.5","a","5.6","e"
"Mississippi","2.9","a","5.5","a","8.4","a","114.7","a","0.4","a","3.0","e"
"Missouri","4.3","a","12.1","a","16.4","a","332.3","a","1.7","a","6.1","e"
"Montana","1.0","a","2.0","a","3.0","a","51.8","a","0.4","a","1.1","e"
"Nebraska","2.2","a","5.2","a","7.4","a","131.4","a","1.2","a","1.9","e"
"Nevada","2.5","a","5.1","a","7.6","a","181.7","a","4.1","a","3.1","e"
"New Hampshire","1.2","a","3.3","a","4.4","a","87.5","a","2.1","a","1.4","e"
"New Jersey","10.9","a","27.3","a","38.3","a","639.4","a","2.1","a","8.9","e"
"New Mexico","3.0","a","4.3","a","7.2","a","102.0","a","4.3","a","2.1","e"
"New York","13.3","a","79.4","a","92.7","a","1,777.8","a","2.5","a","19.5","e"
"North Carolina","11.3","a","18.3","a","29.5","a","595.7","a","2.1","a","10.5","e"
"North Dakota","1.3","a","1.8","a","3.1","a","59.0","a","0.6","a","0.8","e"
"Ohio","10.5","a","27.5","a","38.0","a","693.2","a","2.0","a","11.7","e"
"Oklahoma","4.5","a","6.8","a","11.3","a","203.7","a","1.7","a","4.0","e"
"Oregon","5.6","a","10.4","a","16.0","a","246.6","a","2.0","a","4.2","e"
"Pennsylvania","13.6","a","33.2","a","46.8","a","799.7","a","1.7","a","12.8","e"
"Rhode Island","1.1","a","2.6","a","3.7","a","61.3","a","1.4","a","1.1","e"
"South Carolina","6.3","a","10.0","a","16.2","a","244.7","a","2.3","a","5.2","e"
"South Dakota","0.9","a","1.7","a","2.6","a","53.9","a","0.4","a","0.9","e"
"Tennessee","5.1","a","10.5","a","15.7","a","376.9","a","2.0","a","6.8","e"
"Texas","29.5","a","65.2","a","94.7","a","1,864.0","a","3.2","a","29.0","e"
"All states combined","334.0","a","767.3","a","1,101.3","a","21,381.0","a","2.3","a","328.3","e"
"Utah","5.1","a","5.9","a","11.0","a","195.1","a","4.8","a","3.2","e"
"Vermont","1.1","a","2.2","a","3.3","a","34.1","a","1.0","a","0.6","e"
"Virginia","10.2","a","18.8","a","29.0","a","554.3","a","2.0","a","8.6","e"
"Washington","9.0","a","20.2","a","29.2","a","597.9","a","3.9","a","7.6","e"
"West Virginia","2.2","a","3.2","a","5.3","a","79.1","a","-0.8","a","1.8","e"
"Wisconsin","6.1","a","14.1","a","20.1","a","344.7","a","1.5","a","5.8","e"
"Wyoming","0.8","a","2.0","a","2.8","a","39.6","a","1.7","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
