""
"Comparison of State and Local Government Spending"
"in the United States"
"Fiscal Year 2018"
"Amounts in $ billion"
"Education"
"State","State Spending","","Local Spending","","State and Local Spending","","Gross State Product","","Real State Growth %","","Population (million)"," "
"Alabama","6.7","a","8.1","a","14.8","a","224.0","a","1.6","a","4.9","e"
"Alaska","1.4","a","1.9","a","3.3","a","54.7","a","-1.6","a","0.7","e"
"Arizona","6.0","a","9.9","a","16.0","a","349.9","a","3.7","a","7.2","e"
"Arkansas","3.4","a","5.4","a","8.8","a","127.3","a","1.8","a","3.0","e"
"California","38.2","a","104.5","a","142.7","a","2,895.1","a","4.0","a","39.4","e"
"Colorado","7.5","a","11.5","a","19.0","a","371.4","a","3.8","a","5.7","e"
"Connecticut","3.8","a","9.9","a","13.8","a","280.7","a","1.1","a","3.6","e"
"Delaware","1.9","a","2.1","a","4.0","a","72.5","a","1.5","a","1.0","e"
"District of Columbia","0.0","a","3.2","a","3.2","a","139.8","a","2.4","a","0.7","e"
"Florida","12.4","a","33.0","a","45.4","a","1,057.9","a","3.3","a","21.3","e"
"Georgia","8.8","a","20.9","a","29.7","a","602.3","a","2.7","a","10.5","e"
"Hawaii","3.7","a","0.0","a","3.7","a","90.3","a","1.2","a","1.4","e"
"Idaho","1.4","a","2.5","a","3.9","a","77.5","a","6.1","a","1.8","e"
"Illinois","8.6","a","30.9","a","39.5","a","867.5","a","2.4","a","12.7","e"
"Indiana","8.0","a","11.0","a","19.0","a","373.5","a","3.5","a","6.7","e"
"Iowa","3.5","a","7.9","a","11.3","a","190.4","a","1.6","a","3.1","e"
"Kansas","2.9","a","7.2","a","10.1","a","172.3","a","2.3","a","2.9","e"
"Kentucky","6.2","a","6.9","a","13.1","a","208.3","a","1.2","a","4.5","e"
"Louisiana","4.2","a","8.2","a","12.4","a","255.8","a","1.1","a","4.7","e"
"Maine","1.0","a","2.7","a","3.7","a","65.5","a","2.7","a","1.3","e"
"Maryland","6.0","a","15.5","a","21.5","a","411.1","a","0.5","a","6.0","e"
"Massachusetts","7.1","a","16.7","a","23.7","a","564.0","a","3.8","a","6.9","e"
"Michigan","12.5","a","20.2","a","32.8","a","520.8","a","2.2","a","10.0","e"
"Minnesota","6.7","a","13.7","a","20.3","a","373.4","a","3.0","a","5.6","e"
"Mississippi","2.8","a","5.4","a","8.2","a","112.4","a","-0.5","a","3.0","e"
"Missouri","4.1","a","11.6","a","15.7","a","319.4","a","1.4","a","6.1","e"
"Montana","1.0","a","2.1","a","3.1","a","50.9","a","1.5","a","1.1","e"
"Nebraska","2.2","a","5.2","a","7.4","a","126.9","a","2.1","a","1.9","e"
"Nevada","2.3","a","4.9","a","7.2","a","170.4","a","3.4","a","3.0","e"
"New Hampshire","1.2","a","3.1","a","4.3","a","83.8","a","1.9","a","1.4","e"
"New Jersey","11.3","a","26.6","a","37.9","a","613.5","a","2.4","a","8.9","e"
"New Mexico","2.9","a","4.0","a","6.9","a","97.3","a","2.2","a","2.1","e"
"New York","12.9","a","76.4","a","89.3","a","1,695.0","a","2.7","a","19.5","e"
"North Carolina","11.0","a","17.4","a","28.4","a","570.0","a","1.5","a","10.4","e"
"North Dakota","1.2","a","1.8","a","3.0","a","59.1","a","3.3","a","0.8","e"
"Ohio","10.9","a","26.2","a","37.1","a","667.0","a","1.4","a","11.7","e"
"Oklahoma","4.5","a","6.1","a","10.6","a","202.5","a","1.6","a","3.9","e"
"Oregon","5.2","a","9.5","a","14.7","a","237.1","a","4.6","a","4.2","e"
"Pennsylvania","12.7","a","32.0","a","44.7","a","772.6","a","1.4","a","12.8","e"
"Rhode Island","1.1","a","2.5","a","3.6","a","59.1","a","-0.2","a","1.1","e"
"South Carolina","6.1","a","9.6","a","15.7","a","233.7","a","2.6","a","5.1","e"
"South Dakota","0.9","a","1.7","a","2.6","a","52.4","a","1.3","a","0.9","e"
"Tennessee","5.0","a","10.1","a","15.1","a","361.4","a","1.3","a","6.8","e"
"Texas","28.4","a","63.8","a","92.3","a","1,809.7","a","3.9","a","28.6","e"
"All states combined","322.9","a","736.4","a","1,059.3","a","20,533.1","a","2.9","a","326.8","e"
"Utah","5.1","a","5.5","a","10.6","a","182.6","a","5.8","a","3.2","e"
"Vermont","1.1","a","1.9","a","3.0","a","33.0","a","0.4","a","0.6","e"
"Virginia","9.7","a","17.9","a","27.6","a","531.8","a","2.4","a","8.5","e"
"Washington","9.2","a","18.1","a","27.3","a","564.5","a","6.8","a","7.5","e"
"West Virginia","2.1","a","3.1","a","5.2","a","79.0","a","2.3","a","1.8","e"
"Wisconsin","5.6","a","13.9","a","19.5","a","332.3","a","2.4","a","5.8","e"
"Wyoming","0.8","a","2.0","a","2.8","a","39.0","a","1.5","a","0.6","e"

"Legend:"
"a - actual reported"
"e - out-year estimate in US budget"
